A járás neve;A személyi jövedelemadót fizetők száma;Személyi jövedelemadó, ezer forint
Fehérgyarmati;19 964;3 612 135
Ibrányi;11 785;2 297 059
Kemecsei;11 384;2 082 980
Kisvárdai;29 714;6 833 978
Mátészalkai;32 775;6 835 624
Nagykállói;15 612;2 963 658
Nyírbátori;21 738;4 589 278
Nyíregyházai;86 118;25 641 877
Tiszavasvári;13 226;2 910 081
Vásárosnaményi;18 269;3 465 101
Záhonyi;9 744;2 125 478
Összesen;287 197;66 368 592
;;
Összesen;758 164;190 524 287
;;
Bácsalmási;9 107;1 853 443
Bajai;30 951;8 222 552
Jánoshalmai;8 180;1 681 007
Kalocsai;25 299;6 212 193
Kecskeméti;80 124;25 185 384
Kiskőrösi;26 714;6 118 295
Kiskunfélegyházi;18 814;4 888 255
Kiskunhalasi;21 314;5 495 361
Kiskunmajsai;9 311;2 023 561
Kunszentmiklósi;15 386;3 628 241
Tiszakécskei;11 700;4 335 608
Összesen;256 900;69 643 900
;;
Békéscsabai;42 087;11 706 205
Békési;18 421;4 245 712
Gyomaendrődi;12 315;2 597 925
Gyulai;20 345;5 598 652
Mezőkovácsházai;20 100;4 239 431
Orosházi;25 835;6 650 948
Sarkadi;11 253;2 102 748
Szarvasi;14 865;3 670 727
Szeghalmi;16 284;3 670 890
Összesen;181 505;44 483 238
;;
Csongrádi;10 958;2 609 779
Hódmezővásárhelyi;27 192;7 194 661
Kisteleki;8 279;1 617 312
Makói;22 052;5 705 802
Mórahalmi;13 910;2 793 027
Szegedi;97 066;30 449 094
Szentesi;21 151;5 182 938
Összesen;200 608;55 552 613
;;
Összesen;639 013;169 679 751
;;
Összesen;1 987 238;512 587 455
